Name, Price, Link, Img
Xiaomi Redmi Note 9 Pro 6GB 128GB,5999,https://darwin.md/redmi-note-9-pro-xiaomi-gray-6-128-gb-dual.html,https://darwin.md/images/product/thumbs/2020/06/redmi_note_9_pro_gray_1-200605035404-darwin.png
Samsung Galaxy A51 4/64GB (A515F),6199,https://darwin.md/a515f-galaxy-a51-64gb-prism-crush-black.html,https://darwin.md/images/product/thumbs/2020/11/samsung_galaxy_a51_black_1.png
Samsung Galaxy S20 FE 6/128GB (G780),12999,https://darwin.md/g780-galaxy-s20-fe-samsung-blue-128-gb-dual.html,https://darwin.md/images/product/thumbs/2020/09/samsung_galaxy_s20_fe_cloud_navy_1.png
Samsung Galaxy S20 FE 6/128GB (G780),12999,https://darwin.md/g780-galaxy-s20-fe-samsung-green-128-gb-dual.html,https://darwin.md/images/product/thumbs/2020/09/samsung_galaxy_s20_fe_cloud_mint_1.png
Apple iPhone 12 64GB,19999,https://darwin.md/iphone-12-apple-64-gb-green.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_green1-201116015445-darwin.png
Apple iPhone 12 64GB Dual SIM,20999,https://darwin.md/iphone-12-apple-64-gb-blue-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_blue1-201116015334-darwin.png
Samsung Galaxy S20 FE 6/128GB (G780),12999,https://darwin.md/g780-galaxy-s20-fe-samsung-red-128-gb-dual.html,https://darwin.md/images/product/thumbs/2020/09/samsung_galaxy_s20_fe_cloud_red_1.png
Apple iPhone 12 Pro 128GB Dual SIM,28999,https://darwin.md/iphone-12-pro-apple-128-gb-pacific-blue-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_pacific_blue1-201116020809-darwin.png
Apple iPhone 12 256GB,23499,https://darwin.md/iphone-12-apple-256-gb-blue.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_blue1.png
Apple iPhone 11 64GB,14999,https://darwin.md/smartphone_apple-iphone-11-64gb-purple.html,https://darwin.md/images/product/thumbs/2020/11/apple_iphone_11_purple1.png
Xiaomi Redmi Note 9 3GB 64GB,3999,https://darwin.md/redmi-note-9-xiaomi-white-3-64-gb-dual.html,https://darwin.md/images/product/thumbs/2020/06/xiaomi_redmi_note_9_white_1.png
