Name, Price, Link, Img
Apple iPhone 11 64GB,14399,https://www.smart.md/smartphone_apple-iphone-11-64gb-black.html,https://www.smart.md/image/cache/data/MariaPoze/1/11/877/AppleiPhone1164GBBlack-335x335.jpg
Apple iPhone 11 64GB,14399,https://www.smart.md/smartphone_apple-iphone-11-64gb-green.html,https://www.smart.md/image/cache/data/MariaPoze/1/11/877/AppleiPhone1164GBGreen-335x335.jpg
Samsung Galaxy A51 (A515) 4GB/64GB Dual Sim,5399,https://www.smart.md/smartphone_samsung-galaxy-a51-a515-4gb64gb-dual-sim-black.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A51/samsung_galaxy_a515_black1_g9o6-ww-335x335.png
Xiaomi Redmi Note 9S Dual Sim 4GB RAM 64GB Aurora,4199,https://www.smart.md/smartphone_xiaomi-redmi-note-9s-dual-sim-4gb-ram-64gb-aurora-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/xiaomi/Note 9S /foto2-200331023246-335x335.jpg
Apple iPhone 11 128GB,15699,https://www.smart.md/smartphone_apple-iphone-11-128gb-black.html,https://www.smart.md/image/cache/data/MariaPoze/1/11/877/AppleiPhone1164GBBlack-335x335.jpg
Xiaomi Redmi Note 9 Dual Sim 3GB RAM 64GB Midnight Gre,3699,https://www.smart.md/smartphone_xiaomi-redmi-note-9-dual-sim-3gb-ram-64gb-midnight-grey.html,https://www.smart.md/image/cache/data/produse/telefoane/xiaomi/Note 9/redmi-note-9-dual-sim-fizic-64gb-lte-4g-gri-midnight-grey-3gb-ram_10066892_3_1588681231-335x335.jpg
iPhone 12 Pro 128GB,25499,https://www.smart.md/iphone-12-pro-128gb-graphite,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_pro_graphite1_e_3-335x335.png
Samsung Galaxy A51 (A515) 6GB/128GB Dual Sim,6199,https://www.smart.md/smartphone_samsung-galaxy-a51-a515-6gb128gb-dual-sim-pink.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A51/samsung_galaxy_a515_red_7-335x335.png
Xiaomi Redmi 9A 2/32gb Dual Sim,2599,https://www.smart.md/xiaomi-redmi-9a-232gb-dual-sim-grey.html,https://www.smart.md/image/cache//data/results-photos/smartgsm/Xiaomi-Redmi-9A-232gb-Dual-Sim-Grey-335x335.jpg
Realme 6i 3/64Gb,3199,https://www.smart.md/realme-6i-364gb-white.html,https://www.smart.md/image/cache/data/produse/telefoane/Realme/6i/realme_6i_4gb_128gb_blanco_04_ad_l-335x335.jpg
iPhone 12 64GB,19199,https://www.smart.md/iphone-12-64gb-black,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_black1_e_2-335x335.png
Xiaomi Redmi Note 9 Dual Sim 3GB RAM 64GB,3699,https://www.smart.md/smartphone_xiaomi-redmi-note-9-dual-sim-3gb-ram-64gb-polar-white.html,https://www.smart.md/image/cache/data/produse/telefoane/xiaomi/Note 9/Telefon-mobil-Dual-SIM-Xiaomi-Redmi-Note-9-64-GB-3-GB-RAM-Polar-White-2-335x335.jpg
iPhone 12 128GB,20599,https://www.smart.md/iphone-12-128gb-black,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_black1_e-335x335.png
Xiaomi Redmi 9A 2/32gb,2599,https://www.smart.md/xiaomi-redmi-9a-232gb-blue.html,https://www.smart.md/image/cache//data/results-photos/smartgsm/Xiaomi-Redmi-9A-232gb-Blue-335x335.jpg
Realme 6 Pro 8/128Gb,6099,https://www.smart.md/realme-6-pro-8128-gb-red.html,https://www.smart.md/image/cache/data/produse/telefoane/Realme/6 pro/realme_6_pro_8gb_128gb_naranja_04_ad_l-335x335.jpg
iPhone 12 Pro MAX 128GB,26999,https://www.smart.md/iphone-12-pro-max-128gb-silver,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_pro_silver1_e_o6i8-w0-335x335.png
SAMSUNG Galaxy S10 Dual Sim 128GB 8GB RAM (G973FD) Pr,10649,https://www.smart.md/smartphone_samsung-galaxy-s10-dual-sim-128gb-8gb-ram-g973fd-prism-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/s10/galaxy_s10_prism_white-335x335.jpg
iPhone 12 Pro MAX 256GB,29999,https://www.smart.md/iphone-12-pro-max-256gb-pacific-blue,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_pro_pacific_blue1_e-webp_1-335x335.jpg
Xiaomi Redmi Note 9 Pro Dual Sim 6GB RAM 128GB,5329,https://www.smart.md/smartphone_xiaomi-redmi-note-9-pro-dual-sim-6gb-ram-128gb-glacier-white.html,https://www.smart.md/image/cache/data/HP-2020/thumb_500x500_xiaomiredminote9pro664gb9359843869451_1-335x335.png
Apple iPhone XR 64GB,12399,https://www.smart.md/smartphone_apple-iphone-xr-64gb-black.html,https://www.smart.md/image/cache/data/produse/telefoane/apple/xr/xr1b-335x335.jpg
iPhone 12 128GB,20599,https://www.smart.md/iphone-12-128gb-blue,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_blue1_e_f2ao-dw-335x335.png
Samsung Galaxy Note 20 Ultra Dual SIM N985 12/256GB M,22999,https://www.smart.md/samsung-galaxy-note-20-ultra-dual-sim-n985-12256gb-mystic-white.html,https://www.smart.md/image/cache//data/results-photos/smartgsm/Samsung-Galaxy-Note-20-Ultra-Dual-SIM-N985-12256GB-Mystic-White-335x335.jpg
Xiaomi Redmi Note 9 Dual Sim 3GB RAM 64GB,3699,https://www.smart.md/smartphone_xiaomi-redmi-note-9-dual-sim-3gb-ram-64gb-forest-green.html,https://www.smart.md/image/cache/data/produse/telefoane/xiaomi/Note 9/redmi-note-9-dual-sim-fizic-64gb-lte-4g-verde-forest-green-3gb-ram_10066898_3_1588681509-335x335.jpg
Samsung Galaxy S20 (G980F) Dual Sim 128GB,15599,https://www.smart.md/smartphone_samsung-galaxy-s20-g980f-dual-sim-128gb-cosmic-grey.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/S20/9d28aeca9b903c037d9beabfacc98524-335x335.jpg
Realme 6 8/128Gb,5199,https://www.smart.md/realme-6-8128-gb-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/Realme/6/realme6arrivamodalitaslomotiona120fps1-335x335.jpg
Samsung Galaxy A01 Core 16GB Dual Sim,1579,https://www.smart.md/smartphone_samsung-galaxy-a01-a015-16gb-dual-sim-black.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A01/bd51ea8b99611b70d3c5d2bd611a4abd_700x700-335x335.jpg
Realme 6 Pro 8/128Gb,6099,https://www.smart.md/realme-6-pro-8128-gb-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/Realme/6 pro/realme_6_pro_8gb_128gb_azul_04_ad_l-335x335.jpg
iPhone 12 Pro MAX 256GB,29999,https://www.smart.md/iphone-12-pro-max-256gb-gold,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_pro_gold1_e_554e-97_1-335x335.png
iPhone 12 mini 64GB,17999,https://www.smart.md/iphone-12-mini-64gb-red,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_mini_red1_e-webp_2-335x335.jpg
Samsung Galaxy A51 (A515) 4GB/64GB Dual Sim,5399,https://www.smart.md/smartphone_samsung-galaxy-a51-a515-4gb64gb-dual-sim-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A51/samsung_galaxy_a515_blue1-335x335.png
Realme C3 2/32Gb,2399,https://www.smart.md/realme-c3-232gb-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/Realme/C3/realme_6941399004832_images_17994106795-335x335.jpg
Samsung Galaxy A51 (A515) 4GB/64GB Dual Sim,5399,https://www.smart.md/smartphone_samsung-galaxy-a51-a515-4gb64gb-dual-sim-white.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A51/samsung_galaxy_a515_white1-335x335.png
Apple iPhone 11 Pro 256GB,23199,https://www.smart.md/smartphone_apple-iphone-11-pro-256gb-silver.html,https://www.smart.md/image/cache/data/MariaPoze/1/11/877/AppleiPhone11ProMax64GBSilver-335x335.jpg
Samsung Galaxy S20+ (G985F) Dual Sim 128GB,17999,https://www.smart.md/smartphone_samsung-galaxy-s20-g985f-dual-sim-128gb-cosmic-grey.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/S20+/6545814_2-335x335.jpg
iPhone 12 mini 64GB,17999,https://www.smart.md/iphone-12-mini-64gb-blue,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_mini_blue1_e_glr3-u3_2-335x335.png
Samsung Galaxy A51 (A515) 6GB/128GB Dual Sim,6199,https://www.smart.md/smartphone_samsung-galaxy-a51-a515-6gb128gb-dual-sim-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A51/samsung_galaxy_a515_blue1-335x335.png
